"year","month","time","spi1","spi2","spi3","spi4","spi5","spi6","spi7","spi8","spi9","spi10","spi11","spi12"
1508,11,1508.95833333333,1,0.670194,1.06063,1.796638,1.974329,1.777069,1.950894,2.107166,2.249872,2.117092,2.003741,1.905568
1508,12,1509.04166666667,0,0.670194,0.530315,0.898319,1.579463,1.777069,1.625745,1.806142,1.968638,2.117092,2.003741,1.905568
1509,1,1509.125,0,0,0.530315,0.449159,0.789732,1.421655,1.625745,1.505119,1.687404,1.852455,2.003741,1.905568
1509,2,1509.20833333333,0,0,0,0.449159,0.394866,0.710827,1.300596,1.505119,1.40617,1.587819,1.753274,1.905568
1509,3,1509.29166666667,0,0,0,0,0.394866,0.355414,0.650298,1.204095,1.40617,1.323182,1.502806,1.667372
1509,4,1509.375,0,0,0,0,0,0.355414,0.325149,0.602047,1.124936,1.323182,1.252338,1.429176
1509,5,1509.45833333333,0,0,0,0,0,0,0.325149,0.301024,0.562468,1.058546,1.252338,1.19098
1509,6,1509.54166666667,1,0.670194,0.530315,0.449159,0.394866,0.355414,0.325149,0.602047,0.562468,0.793909,1.252338,1.429176
1509,7,1509.625,1,1.340387,1.06063,0.898319,0.789732,0.710827,0.650298,0.602047,0.843702,0.793909,1.001871,1.429176
1509,8,1509.70833333333,-3,-1.340387,-0.530315,-0.449159,-0.394866,-0.355414,-0.325149,-0.301024,-0.281234,0,0,0.238196
1509,9,1509.79166666667,-2,-3.350968,-2.12126,-1.347478,-1.184597,-1.066241,-0.975447,-0.903071,-0.843702,-0.793909,-0.500935,-0.476392
1509,10,1509.875,-1,-2.010581,-3.18189,-2.245797,-1.579463,-1.421655,-1.300596,-1.204095,-1.124936,-1.058546,-1.001871,-0.714588
1509,11,1509.95833333333,0,-0.670194,-1.590945,-2.694956,-1.974329,-1.421655,-1.300596,-1.204095,-1.124936,-1.058546,-1.001871,-0.952784
1509,12,1510.04166666667,0,0,-0.530315,-1.347478,-2.369195,-1.777069,-1.300596,-1.204095,-1.124936,-1.058546,-1.001871,-0.952784
